rolling_window,feature_group,evaluation,test_season,rows,accuracy,log_loss,brier_score
5,all,walk_forward,2020,256,0.62109375,0.6629673431543603,0.23429665552146045
5,all,walk_forward,2021,272,0.5919117647058824,0.6639035673466891,0.235187583489165
5,all,walk_forward,2022,271,0.6273062730627307,0.6507472136088811,0.229293860466309
5,all,walk_forward,2023,272,0.6176470588235294,0.6626874567478582,0.23521737297302855
5,all,walk_forward,2024,272,0.6397058823529411,0.6429998556685196,0.2256686168260381
5,all,walk_forward,2025,272,0.6323529411764706,0.6255562656349816,0.21844818185402004
5,all,fixed_holdout,all,544,0.6378676470588235,0.6338355841472743,0.22184071445533923
5,epa,walk_forward,2020,256,0.63671875,0.6512476366027125,0.2301771887196889
5,epa,walk_forward,2021,272,0.5955882352941176,0.6632856798780554,0.23490551712096333
5,epa,walk_forward,2022,271,0.6273062730627307,0.6513985462372485,0.22959359663447304
5,epa,walk_forward,2023,272,0.6286764705882353,0.6636492356356406,0.23561016309650876
5,epa,walk_forward,2024,272,0.6507352941176471,0.6428657640902031,0.22557436865290248
5,epa,walk_forward,2025,272,0.6360294117647058,0.6258777573874501,0.21848670985152774
5,epa,fixed_holdout,all,544,0.6452205882352942,0.6339698334060417,0.22182894736603748
5,epa_pace,walk_forward,2020,256,0.625,0.6547610830399007,0.23187110139519468
5,epa_pace,walk_forward,2021,272,0.5955882352941176,0.6641315227735834,0.23528477663380765
5,epa_pace,walk_forward,2022,271,0.6309963099630996,0.6507672256127306,0.22929215581647536
5,epa_pace,walk_forward,2023,272,0.6066176470588235,0.6633135381404174,0.2354815099762932
5,epa_pace,walk_forward,2024,272,0.6397058823529411,0.6430617322416756,0.2257156019549279
5,epa_pace,walk_forward,2025,272,0.6323529411764706,0.6255192898624227,0.21840867479072457
5,epa_pace,fixed_holdout,all,544,0.6397058823529411,0.633854673783496,0.22184828476509888
5,epa_rest,walk_forward,2020,256,0.62890625,0.6590577378043085,0.23256626601821712
5,epa_rest,walk_forward,2021,272,0.5955882352941176,0.6630117871461417,0.2347873230541309
5,epa_rest,walk_forward,2022,271,0.6273062730627307,0.6513565806911382,0.22958452183127073
5,epa_rest,walk_forward,2023,272,0.6286764705882353,0.663013940850972,0.2353422208490382
5,epa_rest,walk_forward,2024,272,0.6470588235294118,0.6428151913348906,0.22553190365258927
5,epa_rest,walk_forward,2025,272,0.6323529411764706,0.6259078381221711,0.2185240160756944
5,epa_rest,fixed_holdout,all,544,0.6397058823529411,0.6339525565389648,0.22182240991796018
5,pace,walk_forward,2020,256,0.5078125,0.7135773445331037,0.2600037677958378
5,pace,walk_forward,2021,272,0.5441176470588235,0.6850320656387524,0.24599867486375668
5,pace,walk_forward,2022,271,0.5571955719557196,0.6811417374150317,0.2440509015622814
5,pace,walk_forward,2023,272,0.5882352941176471,0.6846461757857822,0.24577970699898777
5,pace,walk_forward,2024,272,0.5404411764705882,0.6901550500832102,0.24849955052532663
5,pace,walk_forward,2025,272,0.5441176470588235,0.6813278636513642,0.24415949475378546
5,pace,fixed_holdout,all,544,0.5422794117647058,0.6856920753290219,0.24630703644498617
5,rest,walk_forward,2020,256,0.49609375,0.7126913308537167,0.25642379687841
5,rest,walk_forward,2021,272,0.5147058823529411,0.6945854227429561,0.25071460041243204
5,rest,walk_forward,2022,271,0.5571955719557196,0.6868441160764971,0.2468547582886956
5,rest,walk_forward,2023,272,0.5551470588235294,0.6868071184512159,0.24683689590395322
